name,quantity,cost_price,unit_price,category,location
AMPICILLIN 250MG VIALS,0,22,30,AMPULES AND VIALS DEXTROSE,BACK SHELF
AMPICILLIN 500MG VIALS,0,29.8,50,AMPULES AND VIALS DEXTROSE,BACK SHELF
AMPICILLIN 1G,7,45,60,AMPULES AND VIALS DEXTROSE,BACK SHELF
CEFUROXIME 750MG VIALS,0,39,150,AMPULES AND VIALS DEXTROSE,BACK SHELF
DEXAMETHASONE AMPULES,13,16,100,AMPULES AND VIALS DEXTROSE,BACK SHELF
FUROSEMIDE AMPULE,0,8.5,40,AMPULES AND VIALS DEXTROSE,BACK SHELF
GENTAMICIN AMPULE,5,6,95,AMPULES AND VIALS DEXTROSE,BACK SHELF
HYDROCORTISONE 100MG VIAL,0,65,100,AMPULES AND VIALS DEXTROSE,BACK SHELF
HYDROCORTISONE 250MG VIAL,0,86.4,150,AMPULES AND VIALS DEXTROSE,BACK SHELF
HYOSCINE AMPULE,4,15,75,AMPULES AND VIALS DEXTROSE,BACK SHELF
KETOROLAC AMPULE,2,16,120,AMPULES AND VIALS DEXTROSE,BACK SHELF
METOCLOPRAMIDE AMPULE,0,,50,AMPULES AND VIALS DEXTROSE,BACK SHELF
OMEPRAZOLE 40MG VIAL,0,32,150,AMPULES AND VIALS DEXTROSE,BACK SHELF
PARACETAMOL AMPULE,0,8.5,80,AMPULES AND VIALS DEXTROSE,BACK SHELF
RANITIDINE AMPULE,2,26,100,AMPULES AND VIALS DEXTROSE,BACK SHELF
VITAMIN B COMPLEX AMPULE,4,12,100,AMPULES AND VIALS DEXTROSE,BACK SHELF
VITAMIN K AMPULE,0,,85,AMPULES AND VIALS DEXTROSE,BACK SHELF
ATS 3000 IU,10,222,350,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
ATS 1500 IU,3,132,200,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
T. TOXOID,7,95,150,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
D5LRS 1LITER,12,81.25,110,AMPULES AND VIALS DEXTROSE,BACK SHELF
D5 0.3 1 LITER,5,81.25,110,AMPULES AND VIALS DEXTROSE,BACK SHELF
D10 WATER 500ML,2,81.25,110,AMPULES AND VIALS DEXTROSE,BACK SHELF
D5 NSS 1 LITER,4,81.25,110,AMPULES AND VIALS DEXTROSE,BACK SHELF
PLAIN NSS 1LITER,12,81.25,110,AMPULES AND VIALS DEXTROSE,BACK SHELF
PLAIN NSS 50ML,0,63.75,70,AMPULES AND VIALS DEXTROSE,BACK SHELF
STERILE WATER 50ML,13,63.75,75,AMPULES AND VIALS DEXTROSE,BACK SHELF
SALBUTAMOL NEBULE (AEROVENT),9,8.66,15,AMPULES AND VIALS DEXTROSE,BACK SHELF
SALBUTAMOL NEBULE (HIVENT),45,8.5,18,AMPULES AND VIALS DEXTROSE,BACK SHELF
SALBUTAMOL +IPATROPIUM NEBULES(BRODIX),24,9.85,35,AMPULES AND VIALS DEXTROSE,BACK SHELF
COMVIBENT NEBULES,0,58.2,65,AMPULES AND VIALS DEXTROSE,BACK SHELF
DUAVENT NEBULES,20,42,50,AMPULES AND VIALS DEXTROSE,BACK SHELF
DULCOLAX SUPPOSITORY ADULT,0,58,65,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
DULCOLAX SUPPOSITORY PEDIA,0,57,65,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
GLYDOLAX ADULT,0,10.22,15,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
GLYDOLAX PEDIA,0,8.64,12,AMPULES AND VIALS DEXTROSE,REFRIGERATOR
