name,quantity,cost_price,unit_price,category,location
KOOL FEVER ADULT,32,51.98,65,OTHERS,
KOOL FEVER KIDS,1,50,65,OTHERS,
KOOL FEVER PEDIA,32,50,65,OTHERS,
MILK CONTAINER 4LAYERS,0,68,80,OTHERS,
MILK CONTAINER 3LAYERS,3,35,60,OTHERS,
PETROLEUM JELLY (FARLIN) 25G,0,23.5,45,OTHERS,
PETROLEUM JELLY (APOLLO) 25G,0,23.5,45,OTHERS,
EFFICASENT OIL EXTREME 25ML,1,39.1,50,OTHERS,
EFFICASENT OIL EXTREME 50ML,3,74.75,90,OTHERS,
EFFICASENT OIL EXTRA STRENGTH 25ML,1,32.9,40,OTHERS,
EFFICASENT OIL EXTRA STRENGTH 50ML,0,61.7,75,OTHERS,
EFFICASENT OIL REGULAR 25ML,5,26.5,35,OTHERS,
EFFICASENT OIL REGULAR 50ML,5,51,60,OTHERS,
OMEGA 60ML,2,63.75,75,OTHERS,
ACEITE MANZANILLA 25ML,1,15,20,OTHERS,
ACEITE MANZANILLA 50ML,1,25,30,OTHERS,
ACEITE DE ALCAMPORADO 25ML,0,14.05,20,OTHERS,
BACTIDOL GARGLE 60ML,0,102.95,125,OTHERS,
BETADINE GARGLE 60ML,0,109,135,OTHERS,
LISTERINE 100ML,0,54.65,70,OTHERS,
WHITE FLOWER 2.5ML,0,45.5,65,OTHERS,
BL CREAM,0,31.75,40,OTHERS,
KATINKO 10G,12,32.5,40,OTHERS,
KATINKO 30G,0,68,80,OTHERS,
KATIALIS 15G,3,33,45,OTHERS,
KATIALIS 30G,1,55,65,OTHERS,
BIODERM OINMENT 15G,3,31.25,45,OTHERS,
PREGNANCY TEST,31,11,60,OTHERS,
BAND-AID,0,1.38,3,OTHERS,
HAIR BLACKEN SHAMPOO,0,7.78,10,OTHERS,
CALMOSEPTINE,20,37.05,50,OTHERS,
ZINC OXIDE+CALAMINE (SAPHCLAMINE),0,37.05,50,OTHERS,
LICEALIZ 10ML,4,16,20,OTHERS,
