name,quantity,cost_price,unit_price,category,location
1CC SYRINGE,38,7.5,12,SUPPLIES,FRONT SHELF
3CC SYRINGE,40,7.5,10,SUPPLIES,FRONT SHELF
5CC SYRINGE,35,8.5,10,SUPPLIES,FRONT SHELF
10CC SYRINGE,0,8.5,12,SUPPLIES,FRONT SHELF
INSULIN SYRINGE 1/2CC,22,7.5,12,SUPPLIES,FRONT SHELF
INSYTE G.18,3,76,90,SUPPLIES,FRONT SHELF
INSYTE G.22,0,76,90,SUPPLIES,FRONT SHELF
INSYTE G.24,0,76,90,SUPPLIES,FRONT SHELF
INSYTE G. 26,4,50,120,SUPPLIES,FRONT SHELF
GAUZE BANDAGE 4X4,94,1.08,6,SUPPLIES,FRONT SHELF
GAUZE BANDAGE 4X10,8,15,25,SUPPLIES,FRONT SHELF
GLOVES SIZE 6,53,12.5,50,SUPPLIES,FRONT SHELF
GLOVES SIZE 7,19,12.5,50,SUPPLIES,FRONT SHELF
MICROPORE 1/2,0,27.08,25,SUPPLIES,FRONT SHELF
MICROPORE 1,0,18.75,50,SUPPLIES,FRONT SHELF
WEE BAG,13,3.25,10,SUPPLIES,FRONT SHELF
URINE COLLECTOR (CONTAINER),0,7,15,SUPPLIES,FRONT SHELF
LUBRICATING JELLY,0,6.5,15,SUPPLIES,FRONT SHELF
HEPLOCK,4,11,50,SUPPLIES,FRONT SHELF
POVIDONE IODINE 120ML,0,60,80,SUPPLIES,FRONT SHELF
POVIDONE IODINE 60ML,4,35,60,SUPPLIES,FRONT SHELF
POVIDONE IODINE 30ML,0,28,45,SUPPLIES,FRONT SHELF
POVIDONE IODINE 15ML,0,23.75,35,SUPPLIES,FRONT SHELF
HYDROGEN PEROXIDE 120ML (AGUA),0,20,40,SUPPLIES,FRONT SHELF
HYDROGEN PEROXIDE 60ML (AGUA),2,19.5,30,SUPPLIES,FRONT SHELF
MACROSET B BRAUN,0,85,100,SUPPLIES,FRONT SHELF
MICROSET B BRAUN,0,85,100,SUPPLIES,FRONT SHELF
MACROSET INSET,0,25,60,SUPPLIES,FRONT SHELF
MICROSET INSET,6,25,60,SUPPLIES,FRONT SHELF
SOLUSET,0,150,180,SUPPLIES,FRONT SHELF
NEBKIT,3,70,85,SUPPLIES,FRONT SHELF
NEBKIT W/ MASK ADULT,2,55,100,SUPPLIES,FRONT SHELF
NEBKIT W/ MASK PEDIA,1,55,100,SUPPLIES,FRONT SHELF
OXYGEN MASK ADULT,0,35,100,SUPPLIES,FRONT SHELF
OXYGEN MASK PEDIA,0,35,100,SUPPLIES,FRONT SHELF
OXYGEN CANNULA ADULT,1,39,60,SUPPLIES,FRONT SHELF
OXYGEN CANNULA PEDIA,2,35,60,SUPPLIES,FRONT SHELF
OXYGEN CANNULA NEONATE,1,35,100,SUPPLIES,FRONT SHELF
FOLEY CATHETER FR.16,2,37.5,70,SUPPLIES,FRONT SHELF
FOLEY CATHETER FR.18,5,35,70,SUPPLIES,FRONT SHELF
SUCTION CATHETER FR.16,0,35,60,SUPPLIES,FRONT SHELF
FEEDING TUBE FR.8,0,35,50,SUPPLIES,FRONT SHELF
ELASTIC BANDAGE 2,2,35,50,SUPPLIES,FRONT SHELF
ELASTIC BANDAGE 3,2,35,50,SUPPLIES,FRONT SHELF
ELASTIC BANDAGE 4,0,40,60,SUPPLIES,FRONT SHELF
ELASTIC BANDAGE 6,1,48,80,SUPPLIES,FRONT SHELF
SILK 2-0 CUTTING,6,21.66,275,SUPPLIES,FRONT SHELF
SILK 3-0 CUTTING,2,21.66,275,SUPPLIES,FRONT SHELF
URINE BAG,8,17.5,40,SUPPLIES,FRONT SHELF
BT SET,0,69,100,SUPPLIES,FRONT SHELF
UNDER PADS,2,14,40,SUPPLIES,FRONT SHELF
BINDER,2,185,250,SUPPLIES,FRONT SHELF
ARMSLING LARGE,0,54,100,SUPPLIES,FRONT SHELF
ARMSLING MEDIUM,0,54,100,SUPPLIES,FRONT SHELF
LAMPIN MANUSO,1,65,75,SUPPLIES,FRONT SHELF
BARO NG BATA,3,30,50,SUPPLIES,FRONT SHELF
PASA W/ BURDA,0,30,40,SUPPLIES,FRONT SHELF
PAJAMA,3,20,30,SUPPLIES,FRONT SHELF
PASA PLAIN,5,10,20,SUPPLIES,FRONT SHELF
BONET,2,55,65,SUPPLIES,FRONT SHELF
CURITY LAMPIN,0,30,40,SUPPLIES,FRONT SHELF
TOWEL,2,10,15,SUPPLIES,FRONT SHELF
FEEDING BOTTLE 2OZ,1,26.33,65,SUPPLIES,FRONT SHELF
FEEDING BOTTLE 4OZ,2,32.66,65,SUPPLIES,FRONT SHELF
FEEDING BOTTLE 8OZ,0,32,85,SUPPLIES,FRONT SHELF
