name,quantity,cost_price,unit_price,category,location
CEELIN DROPS 30ML,0,130,145,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEELIN SYRUP 120ML,0,122,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEELIN SYRUP 60ML,1,68,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEELIN PLUS DROPS 30ML,2,123.78,165,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEELIN PLUS SYRUP 120ML,0,154,170,SYRUP AND SUSPENSION,LEFT SIDE SHELF
GROWEE DROPS 15ML,0,80.54,95,SYRUP AND SUSPENSION,LEFT SIDE SHELF
GROWEE SYRUP 120ML,1,157.4,190,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CHERIFER DROPS 15ML,0,80.54,90,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CHERIFER SYRUP 120ML,0,153.26,180,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CHERIFER SYRUP W/ ZINC 120ML,0,158.57,185,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CHERIFER FORTE SYRUP 120ML,0,174.38,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NUTRILIN DROPS 15ML,1,77.5,90,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NUTRILIN DROPS 30ML,0,123,135,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NUTRILIN SYRUP 120ML,0,172.97,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TIKI-TIKI DROPS 15ML,0,51.51,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TIKI-TIKI DROPS 30ML,0,86,95,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TIKI-TIKI SYRUP 60ML,0,61.47,70,SYRUP AND SUSPENSION,LEFT SIDE SHELF
YUMMY VIT 60ML,0,68,90,SYRUP AND SUSPENSION,LEFT SIDE SHELF
YUMMY VIT 120ML,0,135.2,160,SYRUP AND SUSPENSION,LEFT SIDE SHELF
FERLIN DROPS 15ML,0,128.31,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
FERLIN SYRUP 120ML,0,313.75,350,SYRUP AND SUSPENSION,LEFT SIDE SHELF
E-ZINC DROPS,0,89.86,120,SYRUP AND SUSPENSION,LEFT SIDE SHELF
E-ZINC SYRUP,0,101,120,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ZINC SYRUP 60ML,0,16.5,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ZINC DROPS,0,13.5,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
AMOXICILLIN DROPS,3,16.5,30,SYRUP AND SUSPENSION,LEFT SIDE SHELF
AMOXICILLIN 125MG SUSPENSION,3,18,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
AMOXICILLIN 250MG SUSPENSION,5,24.5,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFALEXIN DROPS,1,18.25,30,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFALEXIN 125MG SUSPENSION,4,21.25,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFALEXIN 250MG SUSPENSION,3,27.5,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFIXIME DROPS,2,64.9,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFIXIME100/5MG SUSPENSION,2,64.9,280,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFACLOR DROPS 20ML,2,49,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFACLOR 125MG SUSP.,3,72,180,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFACLOR 250MG SUSP.,2,108,220,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CLARITHROMYCIN 125MG SUSP.,1,155,280,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CLARITHROMYCIN 250MG SUSP.,1,252,480,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFUROXIME 125MG SUSP.,3,83,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CEFUROXIME 250MG SUSP.,1,120,250,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CLOXACILLIN 125MG SUSP.,4,14,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CLOXACILLIN 250MG SUSP.,3,31.85,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CO-AMOXICLAV 125MG SUSP.,0,106.6,250,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CO-AMOXICLAV 312MG SUSP.,0,144,290,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CO-AMOXICLAV 457MG SUSP.,2,179,480,SYRUP AND SUSPENSION,LEFT SIDE SHELF
COTRIMOXAZOLE 400MG/80MG,0,28.5,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
