name,quantity,cost_price,unit_price,category,location
ASPILETS 80MG,1,3.2,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ASPILET EC 80MG,0,3.5,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ALDOMET 250MG,0,21,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CATAPRES 75MG,4,32.15,28,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLONIPRESS 75MG,0,22.55,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MICARDIS 40MG,0,25,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TELMISARTAN 40MG,22,3.36,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMLODIPINE 5MG,117,0.9,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMLODIPINE 10MG,147,0.75,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLOPIDOGREL 75MG,60,3.25,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEOBLOC 50MG,13,4.05,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEOBLOC 100MG,29,6.71,9,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LOSARTAN 50MG(ANGEL),15,2.55,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LOSARTAN 100MG(NATRAZOL),12,2.35,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BETHAHISTINE 16MG,61,7.2,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BONAMINE ADULT,20,13,16,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BONAMINE PEDIA,21,10.25,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
STUGERON FORTE 75MG,0,125,140,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SERC 16MG,0,58.5,65,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CINNARIZINE 25MG,43,0.93,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
METOCLOPRAMIDE 10MG,17,0.8,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ALAXAN FR,30,8.53,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
REXIDOL,59,5.5,7,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SARIDON,20,5.75,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
KIDDELETS,0,3,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
